"Enseigne","Nombre d'établissement"
"JIXIAO'S BUNS",2
"JIUM",2
"JEANNETTE",2
"JARDIN DES PLANTES (KIOSQUE)",2
"JAMES HETFEELD'S PUB",2
"JAMES BUN",2
"IPPUDO",2
"INUI",2
"INDOCHINE",2
"IMMERSION",2
"IL TIMO",2
"IL PINOCCHIO",2
"IL PALAZZO",2
"IL PADRINO",2
"IL FARNIENTE",2
"ICHIBAN",2
"IBRIK",2
"HUI LAU SHAN",2
"HOTEL NATIONAL DES ARTS ET METIERS",2
"HORTENSE",2
"HELIA",2
"HD DINER",2
"HAWA BEIRUT",2
"HAO HAO",2
"HANOI CA PHE",2
"HANA",2
"GUSTO",2
"GRUPPOMIMO",2
"GRILL HOUSE",2
"GRILLE",2
"GRILL BAR",2
"GRILL AGORA",2
"GREEN",2
"GRAND MERE LOUISE",2
"GRAMME",2
"GOODNEWS",2
"GOLDEN FOOD",2
"GIULIA",2
"GIOCO",2
"GIGI",2
"GERMAINE",2
"GASTON",2
"GANG NAM",2
"GAMILA",2
"GALATASARAY",2
"FUJI YAKI",2
"FUJI TOMY",2
"FRESH FOOD",2
"FRESH CUBE",2
"FRESH BURRITOS",2
"FRESH",2
"FRENCHIE",2
"FORNO GUSTO",2
"FONDUE FACTORY",2
"FONDUE 9",2
"FIORENTINA",2
"FEYROUZ",2
"FAURN",2
"FAUCHON",2
"FAST FOOD",2
"FARMERS",2
"FALAFEL DU LIBAN",2
"FAKRA",2
"FAGGIO",2
"EXTRA TIME",2
"ESCALE 58",2
"ERIC KAYSER",2
"EPHESE",2
"ENZA FAMIGLIA",2
"ENSUITE",2
"EL VECINO",2
"EL NOPAL",2
"ELITE_",2
"EL FARES",2
"EDGAR",2
"EATS THYME",2
"DUPONT CAFE",2
"DR. FEELGOOD",2
"DREAM SUSHI",2
"DR AUGUSTE",2
"DOSE",2
"DORIIMU",2
"DOPPIO",2
"DONER KING",2
"DOMA",2
"DOI SOUTHEP",2
"DJAAM",2
"DISHNY",2
"DI NAPOLI",2
"DESSIRIER",2
"DEL PAPA",2
"DELIZIOSA PIZZA",2
"DELICES",2
"DE LA POSTE",2
